name,num_simulations,solution_id,time_to_solve,sse,extraction_duration,infusion_duration,infusion_pressure,p0,p1,p2,p3,p4
Diagnostics_100_01JUN2021_232,18432,232,0:00:02.030109 hh:mm:ss,9.744279,27.6,6.0,1.0,5.0,8.0,5.0,5.0,5.0
Diagnostics_101_02JUN2021_1960,18432,1960,0:00:02.023589 hh:mm:ss,8.269856,22.4,6.0,1.0,5.0,8.0,7.0,6.0,5.0
Diagnostics_102_03JUN2021_550,37500,550,0:00:04.120981 hh:mm:ss,18.835073,29.7,6.0,-0.0,5.0,9.0,6.0,5.0,5.0
Diagnostics_103_04JUN2021_1115,12288,1115,0:00:01.332437 hh:mm:ss,7.124528,24.7,6.0,1.0,5.0,8.0,6.0,6.0,5.0
Diagnostics_104_05JUN2021_4523,12288,4523,0:00:01.355350 hh:mm:ss,11.336085,24.6,6.0,1.0,5.0,7.0,8.0,6.0,6.0
Diagnostics_105_14JUN2021_262,2916,262,0:00:00.340091 hh:mm:ss,9.784843,21.7,6.0,1.0,6.0,7.0,8.0,6.0,6.0
Diagnostics_106_15JUN2021_448,4374,448,0:00:00.493680 hh:mm:ss,12.319439,21.0,6.0,1.0,6.0,8.0,8.0,6.0,6.0
Diagnostics_107_17JUN2021_844,18432,844,0:00:02.051514 hh:mm:ss,8.03793,27.5,6.0,1.0,7.0,8.0,7.0,5.0,5.0
Diagnostics_108_18JUN2021_693,24576,693,0:00:02.676841 hh:mm:ss,8.60948,24.1,6.0,1.0,5.0,8.0,6.0,5.0,5.0
Diagnostics_109_19JUN2021_8757,24576,8757,0:00:02.654900 hh:mm:ss,10.539478,24.0,6.0,1.0,5.0,8.0,7.0,6.0,6.0
Diagnostics_10_05FEB2021_569,6144,569,0:00:00.664196 hh:mm:ss,5.112923,20.3,6.0,1.0,7.0,8.0,6.0,6.0,5.0
Diagnostics_110_20JUN2021_3610,12288,3610,0:00:01.335430 hh:mm:ss,6.517029,21.4,6.0,1.0,5.0,8.0,7.0,5.0,6.0
Diagnostics_111_21JUN2021_1498,12288,1498,0:00:01.354418 hh:mm:ss,10.674974,23.8,6.0,1.0,5.0,8.0,8.0,6.0,5.0
Diagnostics_112_22JUN2021_539,12288,539,0:00:01.380309 hh:mm:ss,9.81827,26.0,6.0,1.0,5.0,8.0,7.0,5.0,5.0
Diagnostics_113_23JUN2021_299,2916,299,0:00:00.344104 hh:mm:ss,8.740908,25.4,6.0,1.0,6.0,8.0,8.0,6.0,6.0
Diagnostics_114_24JUN2021_5416,18432,5416,0:00:02.054506 hh:mm:ss,9.484186,26.5,6.0,1.0,5.0,8.0,7.0,5.0,6.0
Diagnostics_115_25JUN2021_299,2916,299,0:00:00.345052 hh:mm:ss,9.662559,23.5,6.0,1.0,6.0,8.0,8.0,6.0,6.0
Diagnostics_116_28JUN2021_447,4374,447,0:00:00.505648 hh:mm:ss,15.724907,23.8,6.0,1.0,6.0,8.0,8.0,6.0,6.0
Diagnostics_117_29JUN2021_1101,5832,1101,0:00:00.670208 hh:mm:ss,13.508128,19.6,6.0,1.0,6.0,6.0,8.0,7.0,6.0
Diagnostics_118_29JUN2021_2266,18432,2266,0:00:01.983695 hh:mm:ss,7.655131,22.6,6.0,1.0,6.0,8.0,8.0,6.0,5.0
Diagnostics_119_30JUN2021_25406,93750,25406,0:00:10.190778 hh:mm:ss,10.685325,25.9,6.0,1.0,5.0,8.0,7.0,5.0,5.0
Diagnostics_11_07FEB2021_765,24576,765,0:00:02.677814 hh:mm:ss,5.804932,25.8,6.0,1.0,8.0,8.0,6.0,5.0,5.0
Diagnostics_120_01JUL2021_538,18432,538,0:00:02.048522 hh:mm:ss,10.432927,29.8,6.0,1.0,6.0,8.0,6.0,5.0,5.0
Diagnostics_121_03JUL2021_23816,93750,23816,0:00:10.487927 hh:mm:ss,14.164912,37.4,6.0,1.0,7.0,7.0,5.0,5.0,5.0
Diagnostics_122_04JUL2021_808,18432,808,0:00:02.004639 hh:mm:ss,9.786185,23.3,6.0,2.0,5.0,8.0,7.0,5.0,5.0
