name,num_simulations,solution_id,time_to_solve,sse,extraction_duration,infusion_duration,infusion_pressure,p0,p1,p2,p3,p4
Diagnostics_100_01JUN2021_1482,3888,1482,0:00:00.487996 hh:mm:ss,6.64728,27.6,7,1,7,8,5,5,5
Diagnostics_101_02JUN2021_675,2700,675,0:00:00.297205 hh:mm:ss,5.959691,22.4,6,1,4,8,7,6,5
Diagnostics_102_03JUN2021_716,2304,716,0:00:00.261300 hh:mm:ss,11.148615,29.7,9,1,9,8,5,6,5
Diagnostics_103_04JUN2021_544,1536,544,0:00:00.164559 hh:mm:ss,7.124528,24.7,6,1,5,8,6,6,5
Diagnostics_104_05JUN2021_1944,2592,1944,0:00:00.278765 hh:mm:ss,6.864594,24.6,7,1,5,8,7,6,6
Diagnostics_105_14JUN2021_900,2160,900,0:00:00.241004 hh:mm:ss,6.658525,21.7,6,1,5,8,8,6,6
Diagnostics_106_15JUN2021_1760,4050,1760,0:00:00.428200 hh:mm:ss,6.089335,21.0,7,1,6,8,8,5,6
Diagnostics_107_17JUN2021_410,2400,410,0:00:00.261816 hh:mm:ss,8.03793,27.5,6,1,7,8,7,5,5
Diagnostics_108_18JUN2021_448,3024,448,0:00:00.343772 hh:mm:ss,7.032032,24.1,7,1,7,8,6,5,5
Diagnostics_109_19JUN2021_1096,1440,1096,0:00:00.169334 hh:mm:ss,7.314711,24.0,7,1,6,8,7,6,6
Diagnostics_10_05FEB2021_618,2592,618,0:00:00.275607 hh:mm:ss,5.112923,20.3,6,1,7,8,6,6,5
Diagnostics_110_20JUN2021_736,1152,736,0:00:00.158576 hh:mm:ss,6.517029,21.4,6,1,5,8,7,5,6
Diagnostics_111_21JUN2021_1393,4536,1393,0:00:00.497671 hh:mm:ss,6.283634,23.8,7,1,8,8,8,6,5
Diagnostics_112_22JUN2021_492,2880,492,0:00:00.309479 hh:mm:ss,7.567401,26.0,7,1,7,8,7,5,5
Diagnostics_113_23JUN2021_1656,2592,1656,0:00:00.274052 hh:mm:ss,7.671234,25.4,6,1,5,8,8,5,6
Diagnostics_114_24JUN2021_1295,1920,1295,0:00:00.207184 hh:mm:ss,8.294936,26.5,7,1,7,8,7,5,6
Diagnostics_115_25JUN2021_1410,1728,1410,0:00:00.185766 hh:mm:ss,6.218959,23.5,7,1,7,8,8,6,6
Diagnostics_116_28JUN2021_2610,4320,2610,0:00:00.487979 hh:mm:ss,8.301952,23.8,7,1,5,9,8,5,6
Diagnostics_117_29JUN2021_432,1728,432,0:00:00.181527 hh:mm:ss,7.377762,19.6,7,1,5,7,8,7,5
Diagnostics_118_29JUN2021_3600,7290,3600,0:00:00.787268 hh:mm:ss,6.674678,22.6,5,1,4,8,8,6,5
Diagnostics_119_30JUN2021_3330,8100,3330,0:00:00.873105 hh:mm:ss,10.685325,25.9,6,1,5,8,7,5,5
Diagnostics_11_07FEB2021_301,2688,301,0:00:00.291068 hh:mm:ss,5.804932,25.8,6,1,8,8,6,5,5
Diagnostics_120_01JUL2021_1536,4032,1536,0:00:00.438827 hh:mm:ss,9.842342,29.8,6,1,6,9,5,5,5
Diagnostics_121_03JUL2021_4522,6048,4522,0:00:00.676192 hh:mm:ss,10.130087,37.4,7,1,9,6,5,5,5
Diagnostics_122_04JUL2021_376,2400,376,0:00:00.263224 hh:mm:ss,9.010984,23.3,6,2,4,8,7,5,5
Diagnostics_123_05JUL2021_1175,2880,1175,0:00:00.313165 hh:mm:ss,8.116153,27.3,7,1,7,8,6,5,5
Diagnostics_124_06JUL2021_368,1440,368,0:00:00.155584 hh:mm:ss,6.863338,22.9,7,1,5,8,7,6,5
Diagnostics_125_07JUL2021_936,1280,936,0:00:00.138822 hh:mm:ss,6.948383,21.7,6,1,6,8,8,6,6
Diagnostics_126_08JUL2021_648,2592,648,0:00:00.277187 hh:mm:ss,7.410583,23.6,6,1,5,8,7,6,5
Diagnostics_127_09JUL2021_1610,3600,1610,0:00:00.384029 hh:mm:ss,6.982273,24.5,7,1,6,8,7,5,5
Diagnostics_128_11JUL2021_1415,2160,1415,0:00:00.227392 hh:mm:ss,7.826778,24.5,7,1,7,8,8,5,6
Diagnostics_129_12JUL2021_1482,1944,1482,0:00:00.202458 hh:mm:ss,7.773902,20.4,7,1,7,8,7,6,6
Diagnostics_12_08FEB2021_2346,3888,2346,0:00:00.422211 hh:mm:ss,6.609589,30.1,6,1,8,9,7,5,6
Diagnostics_130_13JUL2021_2060,2700,2060,0:00:00.304361 hh:mm:ss,7.200181,23.5,7,1,6,8,7,6,6
Diagnostics_131_14JUL2021_1944,2592,1944,0:00:00.309078 hh:mm:ss,6.775009,23.3,6,1,5,8,7,6,6
Diagnostics_132_15JUL2021_1266,1728,1266,0:00:00.182102 hh:mm:ss,7.079205,21.9,7,1,7,8,8,6,6
Diagnostics_133_16JUL2021_1701,2268,1701,0:00:00.244379 hh:mm:ss,8.340337,23.1,6,1,6,8,7,6,6
Diagnostics_134_17JUL2021_1780,2688,1780,0:00:00.283993 hh:mm:ss,8.55966,26.3,7,1,8,8,7,5,6
Diagnostics_135_18JUL2021_560,1800,560,0:00:00.190490 hh:mm:ss,6.315202,20.3,7,1,6,8,8,7,6
Diagnostics_136_19JUL2021_825,2700,825,0:00:00.293231 hh:mm:ss,7.157047,24.1,6,1,4,8,8,6,5
Diagnostics_137_20JUL2021_1610,2400,1610,0:00:00.254320 hh:mm:ss,7.513768,24.9,6,1,6,8,7,5,6
Diagnostics_138_21JUL2021_805,3024,805,0:00:00.330143 hh:mm:ss,7.997232,23.9,7,1,8,8,7,6,5
Diagnostics_139_22JUL2021_1590,1944,1590,0:00:00.213316 hh:mm:ss,8.035915,21.9,7,1,7,8,8,6,6
Diagnostics_13_09FEB2021_1340,3456,1340,0:00:00.384681 hh:mm:ss,9.330838,29.0,6,1,9,9,7,5,5
Diagnostics_140_23JUL2021_1986,2592,1986,0:00:00.272272 hh:mm:ss,6.303803,20.5,7,1,7,8,7,6,6
Diagnostics_141_01AUG2021_1968,2592,1968,0:00:00.304187 hh:mm:ss,6.341551,19.4,7,1,6,8,7,6,6
Diagnostics_142_02AUG2021_1032,1728,1032,0:00:00.179521 hh:mm:ss,6.251726,17.8,7,1,6,7,8,5,6
Diagnostics_143_03AUG2021_448,2304,448,0:00:00.243330 hh:mm:ss,6.529275,17.8,7,1,5,8,8,6,5
Diagnostics_144_04AUG2021_1400,3456,1400,0:00:00.364546 hh:mm:ss,8.125071,25.7,7,1,8,8,6,5,5
Diagnostics_145_05AUG2021_1400,2160,1400,0:00:00.231901 hh:mm:ss,7.191258,22.5,7,1,6,8,8,5,6
Diagnostics_146_06AUG2021_217,2016,217,0:00:00.215441 hh:mm:ss,6.565778,22.9,7,1,7,8,6,5,5
Diagnostics_147_08AUG2021_710,2700,710,0:00:00.304186 hh:mm:ss,5.855244,20.4,6,1,6,8,7,6,5
Diagnostics_148_09AUG2021_1032,2592,1032,0:00:00.273292 hh:mm:ss,6.388611,18.0,7,1,6,7,8,6,6
Diagnostics_149_10AUG2021_750,2400,750,0:00:00.256340 hh:mm:ss,5.400974,17.1,6,1,4,7,8,7,5
Diagnostics_14_10FEB2021_1950,2700,1950,0:00:00.315162 hh:mm:ss,6.106445,25.1,6,1,4,7,7,6,6
Diagnostics_150_11AUG2021_1024,1536,1024,0:00:00.160833 hh:mm:ss,7.985894,21.2,6,1,5,8,7,6,6
Diagnostics_151_12AUG2021_1685,2400,1685,0:00:00.252325 hh:mm:ss,6.014289,17.6,7,1,6,7,8,6,6
Diagnostics_152_16AUG2021_1435,2268,1435,0:00:00.237389 hh:mm:ss,7.906919,20.6,7,1,8,7,8,5,6
Diagnostics_153_17AUG2021_1648,2160,1648,0:00:00.238378 hh:mm:ss,6.804961,20.8,7,1,6,8,7,6,6
Diagnostics_154_18AUG2021_186,1728,186,0:00:00.183881 hh:mm:ss,5.658078,26.6,10,1,7,8,6,5,5
Diagnostics_155_19AUG2021_360,1440,360,0:00:00.156322 hh:mm:ss,6.043495,20.7,7,1,4,6,7,6,5
Diagnostics_156_20AUG2021_378,1296,378,0:00:00.138631 hh:mm:ss,7.099669,21.9,7,1,5,7,7,6,5
Diagnostics_157_21AUG2021_1014,1944,1014,0:00:00.205473 hh:mm:ss,7.815597,20.7,8,1,7,6,7,6,5
Diagnostics_158_22AUG2021_510,1944,510,0:00:00.230383 hh:mm:ss,7.297576,22.0,8,1,6,7,6,5,4
Diagnostics_159_23AUG2021_395,1920,395,0:00:00.198469 hh:mm:ss,7.324017,21.0,8,1,6,6,7,5,4
Diagnostics_15_12FEB2021_1158,1728,1158,0:00:00.197035 hh:mm:ss,5.400989,22.6,6,1,7,8,7,5,6
Diagnostics_160_24AUG2021_860,2160,860,0:00:00.223680 hh:mm:ss,6.107228,18.9,7,1,5,6,7,5,4
Diagnostics_161_25AUG2021_330,2304,330,0:00:00.246135 hh:mm:ss,6.847875,18.9,7,1,7,7,7,5,5
Diagnostics_162_26AUG2021_1640,2160,1640,0:00:00.225921 hh:mm:ss,5.792104,18.1,7,1,5,7,6,5,5
Diagnostics_163_27AUG2021_240,1440,240,0:00:00.151620 hh:mm:ss,5.406452,19.3,7,1,4,6,6,6,5
Diagnostics_164_29AUG2021_288,864,288,0:00:00.096743 hh:mm:ss,5.783597,19.3,7,1,5,5,5,5,5
Diagnostics_165_30AUG2021_658,3024,658,0:00:00.317852 hh:mm:ss,8.047703,19.6,7,1,7,8,9,7,5
Diagnostics_166_31AUG2021_1698,2304,1698,0:00:00.242303 hh:mm:ss,5.752386,18.4,6,1,7,8,8,6,6
Diagnostics_167_01SEP2021_344,1536,344,0:00:00.168878 hh:mm:ss,6.495485,18.5,7,1,4,8,8,6,5
Diagnostics_168_03SEP2021_564,2916,564,0:00:00.307221 hh:mm:ss,7.376863,18.5,7,1,7,8,8,7,5
Diagnostics_169_04SEP2021_1260,2880,1260,0:00:00.300849 hh:mm:ss,8.783995,17.4,8,1,4,6,8,8,6
Diagnostics_16_13FEB2021_2060,2700,2060,0:00:00.286458 hh:mm:ss,5.050335,20.6,6,1,6,8,7,6,6
Diagnostics_170_05SEP2021_540,4320,540,0:00:00.452762 hh:mm:ss,6.747797,18.6,6,1,4,8,9,7,5
Diagnostics_171_06SEP2021_1808,2688,1808,0:00:00.280276 hh:mm:ss,8.595249,18.8,6,1,5,9,7,5,5
Diagnostics_172_07SEP2021_1016,2304,1016,0:00:00.241361 hh:mm:ss,6.412219,18.5,6,1,4,8,7,5,5
Diagnostics_173_08SEP2021_1368,2592,1368,0:00:00.293813 hh:mm:ss,7.388019,17.1,6,1,5,8,8,6,5
Diagnostics_174_09SEP2021_1650,3600,1650,0:00:00.379983 hh:mm:ss,7.632865,17.9,6,1,4,7,8,6,5
Diagnostics_175_13SEP2021_1152,4320,1152,0:00:00.449795 hh:mm:ss,7.747442,18.2,6,1,5,8,9,7,5
Diagnostics_176_14SEP2021_2120,4320,2120,0:00:00.478283 hh:mm:ss,7.406486,23.9,7,1,6,8,5,5,5
Diagnostics_177_15SEP2021_288,1280,288,0:00:00.140628 hh:mm:ss,9.46218,23.1,7,1,5,8,8,6,5
Diagnostics_178_16SEP2021_1460,1800,1460,0:00:00.190494 hh:mm:ss,7.176186,22.9,7,1,6,8,8,6,6
Diagnostics_179_17SEP2021_1725,3600,1725,0:00:00.412870 hh:mm:ss,9.236515,23.2,6,1,4,8,8,6,5
Diagnostics_17_13FEB2021_1554,2304,1554,0:00:00.240357 hh:mm:ss,4.899422,19.6,6,1,7,8,7,5,6
Diagnostics_180_18SEP2021_455,1440,455,0:00:00.154562 hh:mm:ss,7.417982,20.9,6,1,7,8,8,7,5
Diagnostics_181_20SEP2021_385,4032,385,0:00:00.428858 hh:mm:ss,7.158214,23.1,6,1,8,8,8,5,5
Diagnostics_182_21SEP2021_395,1920,395,0:00:00.215578 hh:mm:ss,7.817138,21.6,7,1,7,7,8,6,5
Diagnostics_183_22SEP2021_2436,3024,2436,0:00:00.324206 hh:mm:ss,8.754022,22.6,6,1,6,8,8,6,6
Diagnostics_184_23SEP2021_1905,4320,1905,0:00:00.465781 hh:mm:ss,9.893161,28.7,6,1,5,8,7,5,5
Diagnostics_185_24SEP2021_1275,6480,1275,0:00:00.702179 hh:mm:ss,10.34408,29.4,6,1,5,8,7,6,5
Diagnostics_186_25SEP2021_1220,4860,1220,0:00:00.536476 hh:mm:ss,9.199368,26.5,7,1,7,8,7,6,5
Diagnostics_187_26SEP2021_1220,6480,1220,0:00:00.693524 hh:mm:ss,8.611052,24.7,7,1,7,8,8,6,5
Diagnostics_188_27SEP2021_1425,2400,1425,0:00:00.255157 hh:mm:ss,9.107636,24.6,7,1,5,8,8,5,6
Diagnostics_189_28SEP2021_2430,5400,2430,0:00:00.606355 hh:mm:ss,10.651175,29.8,7,1,4,9,8,5,5
Diagnostics_18_14FEB2021_1070,2700,1070,0:00:00.280250 hh:mm:ss,5.380259,19.1,5,1,5,8,6,6,5
Diagnostics_190_05OCT2021_469,5040,469,0:00:00.568483 hh:mm:ss,12.680345,34.6,10,1,8,9,6,5,5
Diagnostics_191_06OCT2021_4935,11340,4935,0:00:01.240438 hh:mm:ss,10.284434,32.7,6,1,4,10,5,4,4
Diagnostics_192_07OCT2021_8415,17010,8415,0:00:01.928792 hh:mm:ss,12.623127,31.1,7,1,5,10,6,5,5
Diagnostics_193_09OCT2021_296,1280,296,0:00:00.133643 hh:mm:ss,9.186499,25.1,7,1,6,8,8,6,5
Diagnostics_194_10OCT2021_1200,1792,1200,0:00:00.195478 hh:mm:ss,10.056588,24.7,7,1,6,8,7,5,6
Diagnostics_195_11OCT2021_1725,3600,1725,0:00:00.384371 hh:mm:ss,8.449191,25.5,6,1,4,8,8,6,5
Diagnostics_196_12OCT2021_1280,2160,1280,0:00:00.228486 hh:mm:ss,8.389511,24.4,7,1,6,8,7,5,6
Diagnostics_197_13OCT2021_264,1536,264,0:00:00.168414 hh:mm:ss,8.853628,26.6,6,1,6,8,7,5,5
Diagnostics_198_14OCT2021_400,576,400,0:00:00.060842 hh:mm:ss,5.384685,13.7,7,1,5,4,4,4,4
Diagnostics_199_20OCT2021_180,480,180,0:00:00.048869 hh:mm:ss,5.482827,14.9,6,1,5,5,6,6,5
Diagnostics_19_15FEB2021_1656,2304,1656,0:00:00.248337 hh:mm:ss,5.548943,18.0,4,1,5,8,8,5,6
Diagnostics_1_29JAN2021_880,2304,880,0:00:00.246379 hh:mm:ss,8.33754,22.5,4,1,6,8,6,6,5
Diagnostics_200_21OCT2021_1760,3024,1760,0:00:00.333427 hh:mm:ss,9.154995,22.6,6,1,6,8,8,5,6
Diagnostics_201_23OCT2021_1656,2304,1656,0:00:00.246368 hh:mm:ss,8.732565,22.3,7,1,5,8,8,6,6
