name,num_simulations,solution_id,time_to_solve,sse,extraction_duration,infusion_duration,infusion_pressure,p0,p1,p2,p3,p4
Diagnostics_100_01JUN2021_1165,3024,1165,0:00:00.395941 hh:mm:ss,6.64728,27.6,7.0,1.0,7.0,8.0,5.0,5.0,5.0
Diagnostics_101_02JUN2021_811,3240,811,0:00:00.344080 hh:mm:ss,5.959691,22.4,6.0,1.0,4.0,8.0,7.0,6.0,5.0
Diagnostics_102_03JUN2021_1616,5184,1616,0:00:00.549530 hh:mm:ss,11.148615,29.7,9.0,1.0,9.0,8.0,5.0,6.0,5.0
Diagnostics_103_04JUN2021_1026,2880,1026,0:00:00.306146 hh:mm:ss,7.124528,24.7,6.0,1.0,5.0,8.0,6.0,6.0,5.0
Diagnostics_104_05JUN2021_2611,3240,2611,0:00:00.349066 hh:mm:ss,6.19182,24.6,6.0,1.0,3.0,8.0,8.0,6.0,6.0
Diagnostics_105_14JUN2021_1371,3240,1371,0:00:00.344080 hh:mm:ss,4.892535,21.7,6.0,1.0,4.0,8.0,8.0,6.0,6.0
Diagnostics_106_15JUN2021_2113,4860,2113,0:00:00.519643 hh:mm:ss,6.089335,21.0,7.0,1.0,6.0,8.0,8.0,5.0,6.0
Diagnostics_107_17JUN2021_493,2880,493,0:00:00.311168 hh:mm:ss,8.03793,27.5,6.0,1.0,7.0,8.0,7.0,5.0,5.0
Diagnostics_108_18JUN2021_261,2688,261,0:00:00.282244 hh:mm:ss,7.032032,24.1,7.0,1.0,7.0,8.0,6.0,5.0,5.0
Diagnostics_109_19JUN2021_2061,2700,2061,0:00:00.292219 hh:mm:ss,7.314711,24.0,7.0,1.0,6.0,8.0,7.0,6.0,6.0
Diagnostics_10_05FEB2021_722,3024,722,0:00:00.313507 hh:mm:ss,5.112923,20.3,6.0,1.0,7.0,8.0,6.0,6.0,5.0
Diagnostics_110_20JUN2021_1531,2160,1531,0:00:00.260303 hh:mm:ss,6.25382,21.4,5.0,1.0,3.0,8.0,8.0,5.0,6.0
Diagnostics_111_21JUN2021_1593,5184,1593,0:00:00.550528 hh:mm:ss,6.283634,23.8,7.0,1.0,8.0,8.0,8.0,6.0,5.0
Diagnostics_112_22JUN2021_493,3072,493,0:00:00.325129 hh:mm:ss,7.567401,26.0,7.0,1.0,7.0,8.0,7.0,5.0,5.0
Diagnostics_113_23JUN2021_991,3240,991,0:00:00.344080 hh:mm:ss,7.446116,25.4,5.0,1.0,3.0,8.0,8.0,6.0,5.0
Diagnostics_114_24JUN2021_1555,2304,1555,0:00:00.246367 hh:mm:ss,8.294936,26.5,7.0,1.0,7.0,8.0,7.0,5.0,6.0
Diagnostics_115_25JUN2021_885,2016,885,0:00:00.213455 hh:mm:ss,6.218959,23.5,7.0,1.0,7.0,8.0,8.0,6.0,6.0
Diagnostics_116_28JUN2021_1261,5040,1261,0:00:00.528588 hh:mm:ss,6.544536,23.8,6.0,1.0,3.0,8.0,8.0,6.0,5.0
Diagnostics_117_29JUN2021_541,3240,541,0:00:00.346076 hh:mm:ss,5.181566,19.6,6.0,1.0,3.0,7.0,8.0,7.0,5.0
Diagnostics_118_29JUN2021_4321,8748,4321,0:00:00.929515 hh:mm:ss,6.674678,22.6,5.0,1.0,4.0,8.0,8.0,6.0,5.0
Diagnostics_119_30JUN2021_3152,7560,3152,0:00:00.803852 hh:mm:ss,10.422409,25.9,5.0,1.0,3.0,8.0,7.0,5.0,5.0
Diagnostics_11_07FEB2021_345,3072,345,0:00:00.326128 hh:mm:ss,5.804932,25.8,6.0,1.0,8.0,8.0,6.0,5.0,5.0
Diagnostics_120_01JUL2021_2886,7560,2886,0:00:00.841749 hh:mm:ss,9.842342,29.8,6.0,1.0,6.0,9.0,5.0,5.0,5.0
Diagnostics_121_03JUL2021_5666,7560,5666,0:00:00.821829 hh:mm:ss,10.130087,37.4,7.0,1.0,9.0,6.0,5.0,5.0,5.0
Diagnostics_122_04JUL2021_361,3240,361,0:00:00.340068 hh:mm:ss,7.160212,23.3,4.0,1.0,3.0,7.0,8.0,5.0,5.0
Diagnostics_123_05JUL2021_1411,3456,1411,0:00:00.371033 hh:mm:ss,8.116153,27.3,7.0,1.0,7.0,8.0,6.0,5.0,5.0
Diagnostics_124_06JUL2021_696,2700,696,0:00:00.283243 hh:mm:ss,6.863338,22.9,7.0,1.0,5.0,8.0,7.0,6.0,5.0
Diagnostics_125_07JUL2021_1761,2400,1761,0:00:00.252352 hh:mm:ss,6.948383,21.7,6.0,1.0,6.0,8.0,8.0,6.0,6.0
Diagnostics_126_08JUL2021_2071,3240,2071,0:00:00.339093 hh:mm:ss,6.613244,23.6,5.0,1.0,3.0,8.0,8.0,5.0,6.0
Diagnostics_127_09JUL2021_1933,4320,1933,0:00:00.459770 hh:mm:ss,6.982273,24.5,7.0,1.0,6.0,8.0,7.0,5.0,5.0
Diagnostics_128_11JUL2021_1699,2592,1699,0:00:00.273269 hh:mm:ss,7.826778,24.5,7.0,1.0,7.0,8.0,8.0,5.0,6.0
